epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8972,1.97439,4.76489,1.80586,0.35732,0.2003,0.19196,0.11082,1.73323,7.67472,1.31713,0.0001625,0.0001625,0.0001625
2,68.3079,1.75514,2.39535,1.52878,0.92379,0.29643,0.42993,0.18541,1.54082,2.47396,1.28137,0.00032961,0.00032961,0.00032961
3,100.156,1.70827,1.88461,1.51574,0.60625,0.48507,0.51903,0.23119,1.35147,1.97205,1.17289,0.00049505,0.00049505,0.00049505
4,131.611,1.72657,1.81737,1.5058,0.72581,0.32143,0.37817,0.19425,1.38338,1.63052,1.25767,0.000615719,0.000615719,0.000615719
5,163.34,1.60877,1.56091,1.44906,0.80181,0.45714,0.48348,0.23749,1.34363,1.3996,1.20194,0.000612625,0.000612625,0.000612625
6,194.707,1.49292,1.35234,1.4161,0.58775,0.46439,0.6436,0.3227,1.43423,1.43712,1.3342,0.000609531,0.000609531,0.000609531
7,226.195,1.53039,1.36771,1.45053,0.50432,0.6,0.64329,0.27486,1.50708,1.36225,1.36398,0.000606437,0.000606437,0.000606437
8,257.464,1.49549,1.30766,1.40848,0.50902,0.48214,0.58721,0.23401,1.53026,1.38463,1.39073,0.000603344,0.000603344,0.000603344
9,288.748,1.48216,1.2656,1.42596,0.68329,0.60202,0.62874,0.34048,1.43596,1.15831,1.37738,0.00060025,0.00060025,0.00060025
10,320.063,1.36324,1.16846,1.33309,0.46909,0.68214,0.6333,0.36314,1.40572,1.13596,1.29126,0.000597156,0.000597156,0.000597156
11,352.197,1.39374,1.16075,1.36472,0.57449,0.53974,0.56889,0.28947,1.42298,1.18429,1.30878,0.000594062,0.000594062,0.000594062
12,383.78,1.39471,1.14297,1.3849,0.89907,0.60301,0.73187,0.3509,1.42096,1.02056,1.29963,0.000590969,0.000590969,0.000590969
13,415.414,1.38156,1.0413,1.34473,0.68073,0.60435,0.6966,0.3904,1.37208,1.10643,1.30288,0.000587875,0.000587875,0.000587875
14,447.138,1.37258,1.0142,1.34563,0.82746,0.68558,0.69681,0.38383,1.41179,0.9485,1.34267,0.000584781,0.000584781,0.000584781
15,478.628,1.35738,1.01029,1.34833,0.71216,0.59322,0.65941,0.36777,1.32486,0.97431,1.28956,0.000581687,0.000581687,0.000581687
16,510.118,1.33969,1.03248,1.36672,0.69111,0.6224,0.73327,0.40938,1.25496,0.89986,1.26974,0.000578594,0.000578594,0.000578594
17,541.573,1.36391,0.96904,1.33339,0.70711,0.57811,0.63989,0.33723,1.31364,0.9735,1.28358,0.0005755,0.0005755,0.0005755
18,573.053,1.31694,0.94417,1.30589,0.86194,0.5833,0.64245,0.35713,1.25146,0.91486,1.24804,0.000572406,0.000572406,0.000572406
19,604.779,1.31255,0.93012,1.29999,0.75678,0.55557,0.66501,0.34629,1.34598,0.87932,1.27879,0.000569313,0.000569313,0.000569313
20,636.283,1.27369,0.89402,1.29558,0.78037,0.65875,0.74065,0.391,1.31819,0.84937,1.27274,0.000566219,0.000566219,0.000566219
21,667.641,1.24897,0.86796,1.28307,0.56179,0.68185,0.72422,0.40939,1.25158,0.88186,1.26454,0.000563125,0.000563125,0.000563125
22,698.874,1.20161,0.85541,1.24223,0.92209,0.52552,0.62693,0.31824,1.3457,0.98411,1.30088,0.000560031,0.000560031,0.000560031
23,730.046,1.2832,0.86939,1.27475,0.7674,0.67681,0.69236,0.35463,1.24486,0.79371,1.28266,0.000556938,0.000556938,0.000556938
24,761.35,1.22843,0.88044,1.26124,0.85839,0.55995,0.66098,0.36992,1.2553,0.92804,1.29364,0.000553844,0.000553844,0.000553844
25,792.609,1.24611,0.86206,1.26476,0.90703,0.64408,0.67587,0.40585,1.26417,0.92318,1.20547,0.00055075,0.00055075,0.00055075
26,823.745,1.19101,0.79726,1.22349,0.86354,0.57693,0.65209,0.35596,1.40672,1.10364,1.29225,0.000547656,0.000547656,0.000547656
27,854.992,1.22897,0.83934,1.23784,0.94374,0.63974,0.68711,0.37682,1.28953,0.98476,1.2518,0.000544563,0.000544563,0.000544563
28,886.14,1.24123,0.84006,1.24518,0.88467,0.63091,0.69542,0.35699,1.25685,0.85954,1.26469,0.000541469,0.000541469,0.000541469
29,917.179,1.2085,0.81262,1.26869,0.69073,0.65044,0.67629,0.37527,1.25853,0.85516,1.26785,0.000538375,0.000538375,0.000538375
30,948.189,1.16421,0.80456,1.23691,0.76157,0.60286,0.67512,0.35617,1.20514,0.86777,1.25637,0.000535281,0.000535281,0.000535281
31,979.329,1.15864,0.77488,1.23235,0.70101,0.65385,0.67485,0.37439,1.27591,0.83986,1.23588,0.000532187,0.000532187,0.000532187
32,1010.45,1.15604,0.74838,1.23425,0.57185,0.74109,0.66657,0.34605,1.34316,0.88451,1.27226,0.000529094,0.000529094,0.000529094
33,1041.72,1.20645,0.78267,1.2301,0.84071,0.54358,0.63749,0.30678,1.35134,0.95114,1.31353,0.000526,0.000526,0.000526
34,1073.45,1.1908,0.76371,1.22975,0.89774,0.61089,0.72655,0.36461,1.29725,0.84052,1.27136,0.000522906,0.000522906,0.000522906
35,1105.14,1.14071,0.76901,1.19819,0.85053,0.59407,0.63986,0.32501,1.32748,0.84727,1.2779,0.000519812,0.000519812,0.000519812
36,1136.95,1.16166,0.74783,1.19931,0.86793,0.63197,0.66551,0.38478,1.23129,0.8179,1.21532,0.000516719,0.000516719,0.000516719
37,1168.43,1.11058,0.72173,1.19113,0.87593,0.59524,0.67892,0.36672,1.24938,0.93441,1.25781,0.000513625,0.000513625,0.000513625
38,1199.97,1.10782,0.72902,1.18521,0.91135,0.61632,0.68905,0.37645,1.23489,0.88061,1.26491,0.000510531,0.000510531,0.000510531
39,1231.48,1.10187,0.74352,1.20534,0.59756,0.67416,0.71909,0.38464,1.34214,0.87191,1.35507,0.000507438,0.000507438,0.000507438
40,1262.79,1.1425,0.77029,1.20092,0.72936,0.59389,0.66109,0.33965,1.37184,0.913,1.34198,0.000504344,0.000504344,0.000504344
41,1294.03,1.08442,0.71752,1.18141,0.67517,0.60931,0.66262,0.3609,1.26409,0.90352,1.2633,0.00050125,0.00050125,0.00050125
42,1325.42,1.07466,0.7045,1.15876,0.86107,0.60436,0.64726,0.34684,1.37369,0.87376,1.30067,0.000498156,0.000498156,0.000498156
43,1356.72,1.07383,0.68456,1.15175,0.71843,0.64756,0.7019,0.3905,1.35642,0.91191,1.30889,0.000495063,0.000495063,0.000495063
44,1387.9,1.08039,0.69611,1.14948,0.86815,0.62539,0.69163,0.37242,1.33397,0.91513,1.3183,0.000491969,0.000491969,0.000491969
45,1419.09,1.10304,0.73012,1.17992,0.87532,0.62671,0.68734,0.36768,1.40781,0.93961,1.34037,0.000488875,0.000488875,0.000488875
46,1450.36,1.08662,0.71337,1.14845,0.93093,0.67174,0.74029,0.39151,1.36171,0.81747,1.31337,0.000485781,0.000485781,0.000485781
47,1481.58,1.0775,0.70734,1.17017,0.89305,0.65313,0.69947,0.34953,1.36701,0.84536,1.32486,0.000482687,0.000482687,0.000482687
48,1512.9,0.98634,0.62795,1.10485,0.75207,0.64318,0.71258,0.37849,1.34244,0.83669,1.30256,0.000479594,0.000479594,0.000479594
49,1544.03,1.08291,0.68096,1.15062,0.76358,0.65816,0.6941,0.38365,1.24654,0.81646,1.2702,0.0004765,0.0004765,0.0004765
50,1575.46,1.03402,0.66387,1.1538,0.86519,0.62762,0.66155,0.37407,1.25176,0.86867,1.26432,0.000473406,0.000473406,0.000473406
51,1607.01,0.97495,0.63981,1.12867,0.90223,0.6214,0.67518,0.35948,1.29629,0.88447,1.28191,0.000470312,0.000470312,0.000470312
52,1638.13,1.01998,0.62946,1.14481,0.62148,0.66875,0.7044,0.35508,1.28701,0.86724,1.27536,0.000467219,0.000467219,0.000467219
53,1669.08,1.03162,0.66689,1.12948,0.59964,0.65089,0.67835,0.3386,1.33124,0.90619,1.28927,0.000464125,0.000464125,0.000464125
54,1699.98,1.033,0.64265,1.13518,0.58746,0.68821,0.71142,0.38248,1.31266,0.92746,1.29247,0.000461031,0.000461031,0.000461031
55,1730.98,1.02963,0.64986,1.12824,0.73357,0.61657,0.67594,0.349,1.40617,0.83278,1.3414,0.000457938,0.000457938,0.000457938
56,1762.58,0.96879,0.63681,1.11806,0.6188,0.62018,0.68139,0.37196,1.33958,0.89761,1.29532,0.000454844,0.000454844,0.000454844
57,1794.14,0.97281,0.63275,1.11859,0.72388,0.6571,0.67964,0.36217,1.35078,0.86416,1.31139,0.00045175,0.00045175,0.00045175
58,1825.74,0.99767,0.61847,1.12073,0.62006,0.6539,0.67885,0.35852,1.30365,0.84506,1.28579,0.000448656,0.000448656,0.000448656
59,1857.08,0.96405,0.61956,1.11043,0.88644,0.65244,0.68362,0.36227,1.3284,0.77786,1.30556,0.000445562,0.000445562,0.000445562
60,1888.52,1.01686,0.63856,1.12389,0.91256,0.68513,0.72005,0.36947,1.36079,0.7537,1.34183,0.000442469,0.000442469,0.000442469
61,1919.99,0.95556,0.62015,1.09686,0.58481,0.67583,0.69707,0.36456,1.3167,0.81036,1.34488,0.000439375,0.000439375,0.000439375
62,1951.37,0.97255,0.60363,1.09978,0.71233,0.67237,0.70177,0.37456,1.3711,0.85677,1.39072,0.000436281,0.000436281,0.000436281
63,1983.11,0.962,0.61683,1.09942,0.72773,0.63948,0.67402,0.32864,1.34015,0.89229,1.40313,0.000433187,0.000433187,0.000433187
