epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8468,1.95001,4.15417,1.67986,0.01181,0.125,0.12437,0.08302,1.67966,4.20022,1.29165,0.0001625,0.0001625,0.0001625
2,25.3985,1.82183,2.93324,1.53145,1,0.08899,0.12455,0.08559,1.54614,3.93261,1.2108,0.000324691,0.000324691,0.000324691
3,37.9585,1.74146,2.54785,1.4951,0.99959,0.125,0.23099,0.12196,1.51423,2.50254,1.20594,0.0004802,0.0004802,0.0004802
4,50.6067,1.70191,2.25614,1.45671,0.60779,0.125,0.30198,0.11502,2.03962,2.65365,1.44099,0.000587875,0.000587875,0.000587875
5,63.3544,1.65466,2.11316,1.48145,0.38014,0.4099,0.27557,0.14418,1.53407,2.24902,1.22075,0.0005755,0.0005755,0.0005755
6,75.9034,1.61042,1.97428,1.43484,0.72533,0.34347,0.42315,0.20503,1.41884,2.19431,1.17569,0.000563125,0.000563125,0.000563125
7,88.2437,1.54546,1.83369,1.37417,0.75431,0.40169,0.42424,0.19396,1.63769,1.90265,1.24664,0.00055075,0.00055075,0.00055075
8,100.489,1.53572,1.86254,1.36034,0.71925,0.48515,0.41987,0.20784,1.48245,1.79714,1.21524,0.000538375,0.000538375,0.000538375
9,112.777,1.54163,1.77129,1.36922,0.48308,0.47448,0.50209,0.2224,1.5155,1.82046,1.20355,0.000526,0.000526,0.000526
10,125.112,1.48872,1.6695,1.33755,0.60954,0.58891,0.49788,0.2454,1.40882,1.68302,1.144,0.000513625,0.000513625,0.000513625
11,137.519,1.46901,1.5591,1.33285,0.51158,0.60246,0.49162,0.25697,1.33755,1.64171,1.10697,0.00050125,0.00050125,0.00050125
12,149.977,1.45051,1.54562,1.31403,0.61259,0.625,0.59048,0.30682,1.42886,1.63632,1.09892,0.000488875,0.000488875,0.000488875
13,162.23,1.4928,1.56631,1.3207,0.73205,0.6,0.60326,0.32402,1.28715,1.60647,1.08633,0.0004765,0.0004765,0.0004765
14,174.549,1.39031,1.47681,1.2825,0.59596,0.69207,0.5884,0.32873,1.3284,1.57473,1.08449,0.000464125,0.000464125,0.000464125
15,186.905,1.42269,1.44952,1.29666,0.7499,0.68695,0.65043,0.34295,1.3967,1.51209,1.09652,0.00045175,0.00045175,0.00045175
16,199.293,1.34812,1.38304,1.2574,0.55692,0.69048,0.65678,0.34671,1.3391,1.61914,1.06119,0.000439375,0.000439375,0.000439375
17,211.728,1.34242,1.37471,1.28115,0.50324,0.64641,0.66474,0.35042,1.39485,1.59918,1.07822,0.000427,0.000427,0.000427
18,224.157,1.4285,1.40844,1.29525,0.52474,0.67741,0.68866,0.4021,1.21594,1.52211,1.02243,0.000414625,0.000414625,0.000414625
